,City,Lat,Lng
0,Angra dos Reis,-23.0063966,-44.316326
1,Aperibé,-21.6211928,-42.1028167
2,Araruama,-22.8733203,-42.3428897
3,Areal,-22.2314922,-43.1056264
4,Armação dos Búzios,-22.7597805,-41.8875267
5,Arraial do Cabo,-22.9662839,-42.024427
6,Barra do Piraí,-22.4703403,-43.8263256
7,Barra Mansa,-22.5394843,-44.1735129
8,Belford Roxo,-22.7667284,-43.4033603
9,Bom Jardim,-22.1515328,-42.4186683
10,Bom Jesus do Itabapoana,-21.1341025,-41.680095
11,Cabo Frio,-22.8804369,-42.0189227
12,Cachoeiras de Macacu,-22.4626861,-42.6534414
13,Cambuci,-21.5749919,-41.9107833
14,Carapebus,-22.2033,-41.6625
15,Comendador Levy Gasparian,-22.0427,-43.2083
16,Campos dos Goytacazes,-21.7545,-41.3244
17,Cantagalo,-21.982,-42.3679
18,Cardoso Moreira,-21.488285,-41.7578
19,Carmo,-21.9239,-42.6149
20,Casimiro de Abreu,-22.4849,-42.2013
21,Conceição de Macabu,-22.0849986,-41.8679947
22,Cordeiro,-22.0287681,-42.3607442
23,Duas Barras,-22.0522519,-42.5194705
24,Duque de Caxias,-22.7896225,-43.309929
25,Engenheiro Paulo de Frontin,-22.5504556,-43.6783403
26,Guapimirim,-22.5266308,-42.9790687
27,Iguaba Grande,-22.8388498,-42.2286746
28,Itaboraí,-22.7496231,-42.8557428
29,Itaguaí,-22.8629597,-43.775322
30,Italva,-21.4214056,-41.6907956
31,Itaocara,-21.6725236,-42.0798658
32,Itaperuna,-21.2048,-41.88801
33,Itatiaia,-22.4955278,-44.5633108
34,Japeri,-22.6427642,-43.6533831
35,Laje do Muriaé,-21.2082595,-42.1226959
36,Macaé,-22.3712958,-41.7866922
37,Macuco,-21.9849747,-42.2539464
38,Magé,-22.6604221,-43.0426162
39,Mangaratiba,-22.9600193,-44.04111
40,Maricá,-22.9196772,-42.8184375
41,Mendes,-22.5269113,-43.7332604
42,Mesquita,-22.783092,-43.4293599
43,Miguel Pereira,-22.4539417,-43.4691978
44,Miracema,-21.4123651,-42.1965147
45,Natividade,-21.040694,-41.9817534
46,Nilópolis,-22.8080114,-43.4138222
47,Niterói,-22.8832371,-43.1154552
48,Nova Friburgo,-22.2800004,-42.5325303
49,Nova Iguaçu,-22.7592175,-43.4508728
50,Paracambi,-22.6109158,-43.7096912
51,Paraíba do Sul,-22.1636384,-43.2916915
52,Parati,-23.2196461,-44.7154196
53,Paty do Alferes,-22.4272703,-43.4219523
54,Petrópolis,-22.5075743,-43.1785356
55,Pinheiral,-22.5129436,-44.001435
56,Piraí,-22.6287489,-43.8981758
57,Porciúncula,-20.9627278,-42.0405703
58,Porto Real,-22.4198366,-44.2897974
59,Quatis,-22.4066444,-44.2577453
60,Queimados,-22.7156978,-43.555754
61,Quissamã,-22.107205,-41.4723411
62,Resende,-22.4683626,-44.4463494
63,Rio Bonito,-22.7108378,-42.6271864
64,Rio Claro,-22.7229997,-44.1359986
65,Rio das Flores,-22.1683478,-43.5858689
66,Rio das Ostras,-22.5269448,-41.944972
67,Rio de Janeiro,-22.9110137,-43.2093727
68,Santa Maria Madalena,-21.9557957,-42.008283
69,Santo Antônio de Pádua,-21.5389992,-42.1799978
70,São Francisco de Itabapoana,-21.47437,-41.1202
71,São Fidélis,-21.6431,-41.7578
72,São Gonçalo,-22.8219014,-43.0309252
73,São João da Barra,-21.6348588,-41.0487079
74,São João de Meriti,-22.8043744,-43.3724125
75,São José de Ubá,-21.3595365,-41.9389905
76,São José do Vale do Rio Preto,-22.1509994,-42.9239986
77,São Pedro da Aldeia,-22.8362,-42.1037
78,São Sebastião do Alto,-21.9568272,-42.134815
79,Sapucaia,-21.9946569,-42.9137975
80,Saquarema,-22.9257974,-42.507633
81,Seropédica,-22.7438887,-43.6991998
82,Silva Jardim,-22.6504534,-42.3919146
83,Sumidouro,-22.0498059,-42.6742601
84,Tanguá,-22.7353777,-42.7202272
85,Teresópolis,-22.4164578,-42.975194
86,Trajano de Moraes,-22.0637911,-42.0644414
87,Três Rios,-22.1167884,-43.2087226
88,Valença,-22.2461028,-43.6996917
89,Varre-Sai,-20.9308869,-41.8685772
90,Vassouras,-22.4040394,-43.6633853
91,Volta Redonda,-22.5225497,-44.1040128
